ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
LAC3201,T01,TUTORIAL,1,Monday,800,1000,AS1-0201,2013/2014,1
NM4204,1,SEMINAR-STYLE MODULE CLASS,1,Monday,1200,1500,AS1-0201,2013/2014,1
ECA5333,1,SECTIONAL TEACHING,1,Monday,1900,2100,AS1-0201,2013/2014,1
EC4372,W01,TUTORIAL,2,Tuesday,1200,1300,AS1-0201,2013/2014,1
LAK2201,T4,TUTORIAL,3,Wednesday,1800,2000,AS1-0201,2013/2014,1
EC3382,W02,TUTORIAL,3,Wednesday,1300,1400,AS1-0203,2013/2014,1
EC3382,W03,TUTORIAL,3,Wednesday,1400,1500,AS1-0203,2013/2014,1
CL2204,E2,TUTORIAL,4,Thursday,1200,1400,AS1-0203,2013/2014,1
LAF3201,T7,TUTORIAL,5,Friday,1200,1400,AS1-0203,2013/2014,1
EC4396,1,SEMINAR-STYLE MODULE CLASS,5,Friday,1500,1800,AS1-0203,2013/2014,1
SC3221,D3,TUTORIAL,1,Monday,1200,1400,AS1-0204,2013/2014,1
HY2251,E1,TUTORIAL,1,Monday,1400,1600,AS1-0204,2013/2014,1
LAT1201,W4,TUTORIAL,1,Monday,1800,2000,AS1-0204,2013/2014,1
HY2250,E1,TUTORIAL,2,Tuesday,1000,1200,AS1-0204,2013/2014,1
CH3243,D2,TUTORIAL,2,Tuesday,1200,1400,AS1-0204,2013/2014,1
SN1101E,D6,TUTORIAL,2,Tuesday,1400,1600,AS1-0204,2013/2014,1
HY2249,E2,TUTORIAL,2,Tuesday,1600,1800,AS1-0204,2013/2014,1
HY2250,E2,TUTORIAL,4,Thursday,1000,1200,AS1-0204,2013/2014,1
SN1101E,D8,TUTORIAL,4,Thursday,1200,1400,AS1-0204,2013/2014,1
GEK1035,D3,TUTORIAL,4,Thursday,1600,1800,AS1-0204,2013/2014,1
HY3250,D1,TUTORIAL,5,Friday,1200,1400,AS1-0204,2013/2014,1
LAJ2203,A3,TUTORIAL,1,Monday,1600,1800,AS1-0205,2013/2014,1
LAJ2203,A4,TUTORIAL,2,Tuesday,1400,1600,AS1-0205,2013/2014,1
HY2220,E1,TUTORIAL,4,Thursday,1000,1200,AS1-0205,2013/2014,1
SC2208,D3,TUTORIAL,4,Thursday,1400,1600,AS1-0205,2013/2014,1
EU3224,D1,TUTORIAL,5,Friday,800,1000,AS1-0205,2013/2014,1
EC3314,W04,TUTORIAL,5,Friday,1000,1100,AS1-0205,2013/2014,1
LAJ1201,C13,TUTORIAL TYPE 3,5,Friday,1300,1400,AS1-0205,2013/2014,1
GEK1053,E1,TUTORIAL,1,Monday,1000,1200,AS1-0207,2013/2014,1
GEK1053,E3,TUTORIAL,2,Tuesday,1000,1200,AS1-0207,2013/2014,1
GEK1053,E5,TUTORIAL,2,Tuesday,1600,1800,AS1-0207,2013/2014,1
LAK4201,T2,TUTORIAL,2,Tuesday,1800,2000,AS1-0207,2013/2014,1
GEK1053,E7,TUTORIAL,3,Wednesday,1400,1600,AS1-0207,2013/2014,1
SC3223,D3,TUTORIAL,4,Thursday,1200,1400,AS1-0207,2013/2014,1
LAJ3201,C2,TUTORIAL TYPE 3,5,Friday,1100,1200,AS1-0207,2013/2014,1
